Wall time,Step,Value
1589012062.531689,0,2.301928997039795
1589012157.07793,1,2.3001861572265625
1589012251.438873,2,2.2984602451324463
1589012341.036158,3,2.2967042922973633
1589012439.780522,4,2.294574022293091
1589012534.235803,5,2.292079210281372
1589012630.743395,6,2.288909912109375
1589012726.712147,7,2.284682035446167
1589012824.218866,8,2.2794368267059326
1589012920.555441,9,2.272150754928589
1589013015.730908,10,2.2620086669921875
1589013109.348871,11,2.247692108154297
1589013202.367792,12,2.226569175720215
1589013297.535693,13,2.193678379058838
1589013393.448459,14,2.1442763805389404
1589013486.249833,15,2.0898654460906982
1589013582.844782,16,2.055657386779785
1589013676.048095,17,2.0395548343658447
1589013765.7704,18,2.0294086933135986
1589013856.70398,19,2.0200648307800293
1589013949.002039,20,2.0128400325775146
1589014042.252516,21,2.0018348693847656
1589014138.364547,22,1.9943610429763794
1589014232.144898,23,1.98734712600708
1589014326.708584,24,1.9770411252975464
1589014422.264129,25,1.9716615676879883
1589014514.408943,26,1.9612996578216553
1589014608.761298,27,1.9533891677856445
1589014701.636853,28,1.9447249174118042
1589014796.354753,29,1.9342175722122192
