Wall time,Step,Value
1588174068.529681,0,0.5166599750518799
1588174229.778389,1,0.5205600261688232
1588174391.473723,2,0.5278000235557556
1588174550.411452,3,0.5303400158882141
1588174708.244563,4,0.5310400128364563
1588174865.728737,5,0.5330600142478943
1588175024.440803,6,0.5345600247383118
1588175183.82691,7,0.5372999906539917
1588175339.248357,8,0.5371599793434143
1588175495.018241,9,0.539139986038208
1588175655.255605,10,0.5398799777030945
1588175810.560612,11,0.5361400246620178
1588175967.531195,12,0.5412799715995789
1588176122.88974,13,0.540440022945404
1588176276.04845,14,0.5432199835777283
1588176438.416269,15,0.5435000061988831
1588176604.699512,16,0.5462200045585632
1588176770.273519,17,0.5440400242805481
1588176936.708825,18,0.5474600195884705
1588177102.483243,19,0.5483199954032898
1588177268.640816,20,0.5486999750137329
1588177431.248408,21,0.5466799736022949
1588177587.718282,22,0.5471199750900269
1588177742.018491,23,0.5504599809646606
1588177897.190852,24,0.5468000173568726
1588178052.213174,25,0.549780011177063
1588178208.552638,26,0.5506399869918823
1588178364.764688,27,0.5504000186920166
1588178519.636832,28,0.5508000254631042
1588178675.484808,29,0.550059974193573
