Step,Value
0,2.301928997
1,2.300186157
2,2.298460245
3,2.296704292
4,2.294574022
5,2.29207921
6,2.288909912
7,2.284682035
8,2.279436827
9,2.272150755
10,2.262008667
11,2.247692108
12,2.226569176
13,2.193678379
14,2.144276381
15,2.089865446
16,2.055657387
17,2.039554834
18,2.029408693
19,2.020064831
20,2.012840033
21,2.001834869
22,1.994361043
23,1.987347126
24,1.977041125
25,1.971661568
26,1.961299658
27,1.953389168
28,1.944724917
29,1.934217572
0,1.921093822
1,1.91221571
2,1.898286104
3,1.886762142
4,1.875190854
5,1.861369371
6,1.848664761
7,1.836796284
8,1.822792172
9,1.808139682
10,1.799569964
11,1.785330772
12,1.772378683
13,1.761130095
14,1.750612974
15,1.740817904
16,1.73054409
17,1.721945763
18,1.711898208
19,1.700923204
20,1.697764516
21,1.690193892
22,1.682258248
23,1.674918175
24,1.668373585
25,1.663982511
26,1.65598917
27,1.651506066
28,1.644268274
29,1.637555838
0,1.632524014
1,1.632824183
2,1.626541615
3,1.62105155
4,1.613292933
5,1.612931609
6,1.608528972
7,1.5996418
8,1.596065521
9,1.592247844
10,1.586636066
11,1.587904096
12,1.577542067
13,1.575849175
14,1.570383906
15,1.570409656
16,1.563995957
17,1.559792757
18,1.556910038
19,1.553102374
20,1.549129486
21,1.54974556
22,1.546122909
23,1.538364053
24,1.532586336
25,1.532255769
26,1.527476072
27,1.524826407
28,1.518352032
29,1.515057921
0,1.513292789
1,1.515472889
2,1.507712603
3,1.504157305
4,1.50404799
5,1.497308612
6,1.493242979
7,1.492043495
8,1.488319755
9,1.489074111
10,1.478481889
11,1.476811171
12,1.474600792
13,1.469298244
14,1.469537258
15,1.46630168
16,1.465152144
17,1.460123897
18,1.460508227
19,1.454448938
20,1.451624274
21,1.448646307
22,1.441705227
23,1.442786336
24,1.440439582
25,1.438062906
26,1.432215214
27,1.429231763
28,1.427414417
29,1.425788283
0,1.418495655
1,1.419982314
2,1.411565542
3,1.409970284
4,1.408157825
5,1.406780362
6,1.400159001
7,1.40213716
8,1.395130038
9,1.396321893
10,1.392146468
11,1.38629353
12,1.387865782
13,1.383514404
14,1.379547477
15,1.375757337
16,1.38007617
17,1.370937586
18,1.370162487
19,1.365211606
20,1.36508584
21,1.361541033
22,1.35879004
23,1.352783799
24,1.353184104
25,1.349758863
26,1.349008322
27,1.343030214
28,1.347750068
29,1.341354966
0,1.157111883
1,1.138988733
2,1.127149224
3,1.116285086
4,1.10762465
5,1.098778486
6,1.090962529
7,1.081535101
8,1.075520039
9,1.06715095
10,1.060474157
11,1.053285718
12,1.046076894
13,1.03868103
14,1.033014536
15,1.026015282
16,1.019654512
0,1.156934738
1,1.138445854
2,1.126835823
3,1.116143107
4,1.107269049
5,1.09782362
6,1.091108084
7,1.081727028
8,1.073641181
9,1.067180872
10,1.060068965
11,1.05344522
12,1.04585433
13,1.039131403
14,1.032606244
15,1.026259899
16,1.020129442
17,1.013691187
18,1.006732583
19,0.999988616
20,0.994897068
21,0.987964571
22,0.98017323
23,0.976007342
24,0.968695164
25,0.962195396
26,0.9561975
27,0.951765835
28,0.944212973
29,0.939405262
30,0.934188008
31,0.926299751
32,0.921147883
33,0.91407311
34,0.909781873
35,0.903486013
36,0.897732794
37,0.892203748
38,0.885865569
39,0.880317688
40,0.875338018
41,0.868706465
42,0.86233294
43,0.857461333
44,0.852117062
45,0.844128847
46,0.83992666
47,0.833793819
48,0.829239845
49,0.823459923
50,0.815692008
51,0.810930371
52,0.803941309
53,0.797646046
54,0.794659197
55,0.78753531
56,0.781229734
57,0.77555263
58,0.770181239
59,0.763247669
60,0.757342041
61,0.753057599
62,0.745737016
63,0.740268707
64,0.73269099
65,0.727346957
66,0.721835494
67,0.716966927
68,0.709596455
69,0.703649163
0,1.15745008
1,1.138946295
2,1.126311183
3,1.116986513
4,1.106578708
5,1.09772718
6,1.088797688
7,1.082161427
8,1.074588418
9,1.067081451
10,1.058938265
11,1.051917434
12,1.046177626
13,1.039297104
14,1.032497048
15,1.025957942
16,1.01914525
17,1.013596058
18,1.006437302
19,0.999238491
20,0.994139433
21,0.987546146
22,0.981939077
23,0.974866569
24,0.969755709
25,0.963519037
26,0.956979692
27,0.949579895
28,0.944513559
29,0.939756632
30,0.934120417
31,0.927729189
32,0.921533465
33,0.917295575
34,0.909812987
35,0.903220415
36,0.898185134
37,0.892459095
38,0.887190938
39,0.880537868
40,0.874316633
41,0.869504988
42,0.863538206
43,0.857083499
44,0.852192342
45,0.845802307
46,0.839973867
47,0.833366632
48,0.82829994
49,0.821527123
0,0.816935241
1,0.81204021
2,0.80589807
3,0.79888314
4,0.793682992
5,0.785570085
6,0.781720817
7,0.775525391
8,0.769802868
9,0.763475955
10,0.75730288
11,0.752225697
12,0.744220674
13,0.739875555
14,0.73240912
15,0.727017939
16,0.722706676
17,0.716243386
18,0.709896266
19,0.703512371
20,0.697299659
21,0.692627549
22,0.68724364
23,0.680151045
24,0.673123956
25,0.668338478
26,0.659945667
27,0.655504048
28,0.649700642
29,0.642942071
30,0.637203932
31,0.630756259
32,0.624275684
33,0.618304372
34,0.613161981
35,0.60725224
36,0.600212395
37,0.593962312
38,0.587061763
39,0.581865191
40,0.575334072
41,0.567987561
42,0.563374221
43,0.555831552
44,0.54881829
45,0.54299885
46,0.535483778
47,0.529337406
48,0.524761558
49,0.517981052
0,0.968503714
0,1.15899539
1,0.975742817
2,0.910935104
3,0.86886555
4,0.829509139
5,0.792949617
6,0.76377058
7,0.732234657
8,0.701081634
9,0.669947088
10,0.646488667
11,0.621658862
12,0.59442997
13,0.56998539
14,0.546139956
15,0.522008955
16,0.49621734
17,0.471303046
18,0.448867291
19,0.430383384
20,0.409463197
21,0.391756058
22,0.364793599
23,0.352208018
24,0.333479315
25,0.316239178
26,0.30083403
27,0.284419149
28,0.266108245
29,0.25359562
30,0.238421798
31,0.232303143
32,0.216770843
33,0.208372325
34,0.199802414
35,0.185555056
36,0.177563399
37,0.170189396
38,0.162025899
39,0.152072921
40,0.147643372
41,0.141780168
42,0.136820257
43,0.127885699
44,0.124329329
45,0.120930359
46,0.112586379
47,0.108106017
48,0.107754551
49,0.10079705
0,0.044853553
1,0.032754015
2,0.030743996
3,0.027630839
4,0.025858326
5,0.024188306
6,0.023247089
7,0.022909649
8,0.021762509
9,0.021392133
10,0.020893434
11,0.020102909
12,0.019858096
13,0.020895947
14,0.01887311
15,0.02000084
16,0.0202309
17,0.017971991
18,0.017131956
19,0.018083358
20,0.017235326
21,0.017936239
22,0.01629721
23,0.016037071
24,0.015793521
25,0.015660033
26,0.016606895
27,0.015819835
28,0.016284965
29,0.013906221
30,0.016514968
31,0.015560461
32,0.014383977
33,0.013752273
34,0.014208653
35,0.015237367
36,0.01310691
37,0.01305915
38,0.013668615
39,0.014811561
40,0.012509071
41,0.013801279
42,0.014957489
43,0.01507611
44,0.014613491
45,0.013271931
46,0.014070366
47,0.011951336
48,0.011979593
49,0.014360481
0,1.322483182
1,1.136070371
2,1.073471785
3,1.034370899
4,1.010549784
0,1.140475392
1,1.022163391
2,0.964061558
3,0.92080605
4,0.887326181
0,0.852239192
1,0.82515651
2,0.792533994
3,0.774985909
4,0.754062057
0,0.729870439
1,0.715054274
2,0.693416417
3,0.682357609
4,0.661895216
5,0.648390532
6,0.637954235
7,0.619162858
8,0.607525826
9,0.598248959
0,0.583264172
1,0.57273984
2,0.564067364
3,0.550331056
4,0.538363934
5,0.532038391
6,0.522202134
7,0.51326853
8,0.506418109
9,0.495662361
0,0.488075554
1,0.483092487
2,0.472287893
3,0.465824693
4,0.46167478
5,0.453740954
6,0.446007162
7,0.436233252
8,0.432277888
9,0.423681825
0,0.420528054
1,0.410911262
2,0.402760059
3,0.404558212
4,0.395072728
5,0.385769188
6,0.384510994
7,0.375694871
8,0.374227375
9,0.370398343
10,0.364819407
11,0.357365429
12,0.352260202
13,0.346391767
14,0.348877549
15,0.341083109
16,0.339447081
17,0.335015267
18,0.322921842
19,0.320847332
20,0.320508033
21,0.316126585
22,0.309968442
23,0.310195804
24,0.297503203
25,0.302440375
26,0.29742375
27,0.292565435
28,0.291678071
29,0.286488891
0,0.281284928
1,0.279560536
2,0.275149435
3,0.271432489
4,0.271070391
5,0.2636576
6,0.258146107
7,0.259147018
8,0.255683988
9,0.251514971
10,0.248630196
11,0.247481272
12,0.246982023
13,0.241612971
14,0.242271721
15,0.23750332
16,0.233679652
17,0.231121972
18,0.230063021
19,0.228352159
20,0.224951103
21,0.22374551
22,0.215597689
23,0.216720223
24,0.212864757
25,0.215412483
26,0.210383072
27,0.207481489
28,0.21090807
29,0.201418713
0,0.164673105
1,0.15174824
2,0.148852497
3,0.146142036
4,0.144101173
5,0.142648235
6,0.144030184
7,0.142993182
8,0.1399239
9,0.142246127
10,0.138797864
11,0.135988533
12,0.135429755
13,0.13186048
14,0.135697454
15,0.134372711
16,0.129394501
17,0.130059883
18,0.127525091
19,0.128895357
20,0.129340082
21,0.129680753
22,0.123631731
23,0.124823764
24,0.126873627
25,0.123359419
26,0.129811928
27,0.123356991
28,0.124913707
29,0.121699587
0,0.118949428
1,0.12181671
2,0.122913964
3,0.122735865
4,0.120920733
5,0.121375315
6,0.116940908
7,0.120284781
8,0.121835656
9,0.116727777
10,0.11750184
11,0.116418689
12,0.118723646
13,0.114758275
14,0.11753764
15,0.11314518
16,0.115827195
17,0.112527937
18,0.114048921
19,0.115043812
20,0.11276187
21,0.111474998
22,0.110556781
23,0.115293823
24,0.112802036
25,0.110605456
26,0.10865964
27,0.111144386
28,0.111493416
29,0.113124631
0,131.4356995
1,71.02494049
2,38.98209
3,22.01046181
4,13.05635643
5,8.249787331
6,5.617700577
7,4.1557827
8,3.340790749
9,2.872215271
10,2.607999563
11,2.45483923
0,25.90874481
1,20.35602951
2,17.02952003
3,14.92050934
4,13.48376942
5,12.42302036
6,11.58429718
7,10.87213802
8,10.2399683
9,9.66804409
10,9.138036728
11,8.649354935
12,8.191976547
13,7.764381886
14,7.36613512
15,6.996879578
16,6.642717838
17,6.320573807
18,6.015540123
19,5.733431816
20,5.468620777
21,5.21942234
22,4.986040592
23,4.765284061
24,4.56846571
25,4.380473614
26,4.197343826
27,4.037268162
28,3.879536152
29,3.73234129
0,11.73165131
1,7.100440025
2,4.637246609
3,3.327835321
4,2.635989666
5,2.271646976
6,2.084945679
7,1.987431407
8,1.93192184
9,1.898094177
10,1.875720263
11,1.857057333
12,1.84012115
13,1.834288239
14,1.820424557
15,1.81160748
16,1.798837423
17,1.793400407
18,1.782817602
19,1.774256468
20,1.76632154
21,1.758196235
22,1.750088096
23,1.742551804
24,1.733460069
25,1.725242019
26,1.715451837
27,1.712644815
28,1.700691104
29,1.693570375
0,0.090264179
1,0.088864729
2,0.087100856
3,0.087989159
4,0.091662303
5,0.088841043
6,0.090695068
7,0.087666191
8,0.087852575
9,0.086077549
10,0.089901187
11,0.088880897
12,0.084177129
13,0.088465646
14,0.085414037
15,0.085924886
16,0.088135354
17,0.083964936
18,0.08550413
19,0.085188128
20,0.083398022
21,0.081634991
22,0.084097333
23,0.082195736
24,0.084790647
25,0.083212599
26,0.084671915
27,0.081418253
28,0.082050622
29,0.081726491
0,0.083659582
1,0.081482515
2,0.080562077
3,0.079645105
4,0.08014559
5,0.082130969
6,0.078981668
7,0.083265871
0,0.078350671
1,0.076872759
2,0.079973675
3,0.080589034
4,0.077609457
5,0.078119762
6,0.077456735
7,0.078617342
8,0.07264711
9,0.078831159
10,0.075287141
11,0.080191068
12,0.078635253
13,0.0784835
14,0.076895431
15,0.076749094
16,0.076880693
17,0.075404443
18,0.077208184
19,0.077799521
20,0.077354647
21,0.078104019
22,0.080406368
23,0.077624708
24,0.075249843
25,0.076597743
26,0.077872775
27,0.075675607
28,0.074352846
29,0.075720534
